ppd_id,fy,EEGroupID,TierID,source_GASBAssumptions,notes_GASBAssumptions,ActCostMeth_GASB,AssetValMeth_GASB,FundingMeth_GASB,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,ActCostMethCode_GASB,AssetValMethCode_GASB,AssetSmoothingPeriod_GASB,FundingMethCode1_GASB,FundingMethCode2_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActValDate_GASBAssumptions
1,2012,1,0,,,,,,,,,,,,,,,
1,2012,2,0,,,,,,,,,,,,,,,
1,2012,4,0,,,,,,,,,,,,,,,
1,2012,3,0,,,,,,,,,,,,,,,
3,2012,1,0,,,,,,,,,,,,,,,
3,2012,2,0,,,,,,,,,,,,,,,
6,2012,5,0,,,,,,,,,,,,,,,
6,2012,1,0,,,,,,,,,,,,,,,
6,2012,2,0,,,,,,,,,,,,,,,
6,2012,6,0,,,,,,,,,,,,,,,
6,2012,3,0,,,,,,,,,,,,,,,
6,2012,4,0,,,,,,,,,,,,,,,
7,2012,2,0,,,,,,,,,,,,,,,
7,2012,1,0,,,,,,,,,,,,,,,
7,2012,3,0,,,,,,,,,,,,,,,
9,2011,6,0,,,,,,,,,,,,,,,
9,2011,1,0,,,,,,,,,,,,,,,
9,2011,4,0,,,,,,,,,,,,,,,
9,2011,3,0,,,,,,,,,,,,,,,
9,2011,2,0,,,,,,,,,,,,,,,
9,2011,5,0,,,,,,,,,,,,,,,
9,2012,14,0,,,,,,,,,,,,,,,
9,2012,5,0,,,,,,,,,,,,,,,
9,2012,10,0,,,,,,,,,,,,,,,
9,2012,3,0,,,,,,,,,,,,,,,
9,2012,15,0,,,,,,,,,,,,,,,
9,2012,8,0,,,,,,,,,,,,,,,
9,2012,9,0,,,,,,,,,,,,,,,
9,2012,19,0,,,,,,,,,,,,,,,
9,2012,17,0,,,,,,,,,,,,,,,
9,2012,4,0,,,,,,,,,,,,,,,
9,2012,7,0,,,,,,,,,,,,,,,
9,2012,12,0,,,,,,,,,,,,,,,
9,2012,11,0,,,,,,,,,,,,,,,
9,2012,16,0,,,,,,,,,,,,,,,
9,2012,13,0,,,,,,,,,,,,,,,
9,2012,2,0,,,,,,,,,,,,,,,
9,2012,18,0,,,,,,,,,,,,,,,
9,2012,6,0,,,,,,,,,,,,,,,
9,2012,1,0,,,,,,,,,,,,,,,
15,2012,2,0,,,,,,,,,,,,,,,
15,2012,1,0,,,,,,,,,,,,,,,
16,2012,4,0,,,,,,,,,,,,,,,
16,2012,8,0,,,,,,,,,,,,,,,
16,2012,6,0,,,,,,,,,,,,,,,
16,2012,9,0,,,,,,,,,,,,,,,
16,2012,10,0,,,,,,,,,,,,,,,
16,2012,5,0,,,,,,,,,,,,,,,
16,2012,12,0,,,,,,,,,,,,,,,
16,2012,2,0,,,,,,,,,,,,,,,
16,2012,11,0,,,,,,,,,,,,,,,
16,2012,7,0,,,,,,,,,,,,,,,
16,2012,3,0,,,,,,,,,,,,,,,
16,2012,1,0,,,,,,,,,,,,,,,
19,2012,2,0,,,,,,,,,,,,,,,
19,2012,1,0,,,,,,,,,,,,,,,
26,2012,2,0,,,,,,,,,,,,,,,
26,2012,4,0,,,,,,,,,,,,,,,
26,2012,3,0,,,,,,,,,,,,,,,
26,2012,1,0,,,,,,,,,,,,,,,
