,1
1,0.0111818
1,0.0111692
1,0.011148
1,0.0111112
1,0.0110462
1,0.0109668
1,0.0108674
1,0.0107842
1,0.0107314
1,0.0106968
1,0.0106716
1,0.0106534
1,0.0106418
1,0.0106332
1,0.0106262
1,0.0106206
1,0.0106134
1,0.0106002
1,0.010588
1,0.0105778
1,0.0105666
1,0.010556
1,0.0105472
1,0.0105402
1,0.010532
1,0.010521
1,0.0105122
1,0.010504
1,0.0104944
1,0.0104856
1,0.0104746
1,0.0104648
1,0.0104532
1,0.0104422
1,0.0104338
1,0.0104256
1,0.0104156
1,0.0104076
1,0.0104048
1,0.0104008
1,0.010392
1,0.0103838
1,0.0103764
1,0.0103696
1,0.0103596
1,0.0103462
1,0.0103314
1,0.0103228
1,0.010314
1,0.0103142
1,0.0103102
1,0.0103082
1,0.0103058
1,0.010295
1,0.010294
