ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_ERR,fy_start,fy_end,Notes,early_BenefitFactor,early_ReductionRate,early_ActuarialReduction,early_ActuarialReductionInterest,early_TotalReduction_check,early_RetAge,early_RetTenure,early_RetPoints,early_RetDate,early_AgeBase,early_TenureBase,early_PointsBase,early_NearestAgeBase,early_SSAgeBase,early_ReductionPeriodStart,early_ReductionPeriodEnd,early_StartAge,early_EndAge,early_TenureStart,early_TenureEnd,early_ServiceDateStart,early_ServiceDateEnd,NumberofEEGroups,MultipleEEGroupsCoded,EEGroupID_Error,NumberofTiers,MultipleTiersCoded,TierID_Error,NumberofFiscalYears,fy
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2,0,0,4,2013
