ppd_id,PlanName,EEGroupID,TierID,fy,source_AssetAllocation,notes_AssetAllocation,initials_AssetAllocation,equities_tot,equities_domestic,equities_international,FixedIncome_tot,FixedIncome_domestic,FixedIncome_international,RealEstate,CashAndShortTerm,alternatives,other,Total_check
1,Alabama ERS,0,0,2001,2001 Alabama RS CAFR p 55,,JFP,.46529999,.39930001,.066,.48330003,.36680001,.0063,.051399998,0,0,0,100
1,Alabama ERS,0,0,2002,2002 Alabama RS CAFR p 61,,JFP,.46490002,.39099997,.073899999,.4668,.36290002,.0058999998,.068300001,0,0,0,100
1,Alabama ERS,0,0,2003,2003 Alabama RS CAFR p 61,,JFP,.54790002,.46080002,.087099999,.38830003,.30090001,.0020000001,.0638,0,0,0,100
1,Alabama ERS,0,0,2004,2004 Alabama RS CAFR p 65,,JFP,.57859999,.47240001,.1062,.35489997,.2394,.0019,.066500001,0,0,0,100
1,Alabama ERS,0,0,2005,2005 Alabama RS CAFR p 65,,JFP,.58719999,.46130002,.1259,.34669998,.21250001,.0017,.066100001,0,0,0,100
1,Alabama ERS,0,0,2006,2006 Alabama RS CAFR p 65,,JFP,.63510001,.4894,.14569999,.2992,.20719999,.0016,.065700002,0,0,0,100
1,Alabama ERS,0,0,2007,2007 Alabama RS CAFR p 63,,JFP,.64889997,.48790002,.161,.28079998,.18879999,0,.070300005,0,0,0,100
1,Alabama ERS,0,0,2008,2008 Alabama RS CAFR p 67,,JFP,.60750002,.47709998,.1304,.30680001,.22309999,0,.085699998,0,0,0,100
1,Alabama ERS,0,0,2009,2009 Alabama RS CAFR p 68,,JFP,.58669996,.44749999,.1392,.32279998,.2173,0,.090500005,0,0,0,100
1,Alabama ERS,0,0,2010,2010 Alabama RS CAFR p 71,,JFP,.58639997,.44819999,.1382,.29780003,.17870001,0,.1158,0,0,0,100
1,Alabama ERS,0,0,2011,2011 Alabama RS CAFR p 71,,JFP,.56,.43090001,.12909999,.32249999,.2054,0,.1175,0,0,0,100
1,Alabama ERS,0,0,2012,2012 Alabama RS CAFR p 71,,JFP,.59099996,.4682,.1228,.30599999,.18450001,0,.103,0,0,0,100
1,Alabama ERS,0,0,2013,2013 Alabama RS CAFR p 72,,JFP,.63810003,.50690001,.1312,.26619998,.17020001,0,.095699996,0,0,0,100
1,Alabama ERS,0,0,2014,2014 Alabama RS CAFR p 72,,JFP,.65059996,.52749997,.12310001,.25479999,.15609999,0,.094599999,0,0,0,99.999992
